,pathway_id,pathway_name,metabolite,genes_uniprot,genes_symbol,q_value
12,R-HSA-597592,Post-translational protein modification,CHEBI:16264,"Q9Y2A9, Q8NFL0, Q7Z7M8, Q02742, Q9BYG0, Q8N307, Q6W4X9, Q02505, Q9UKN1, Q6UX72, O94777",,0.15293773554959056
22,R-HSA-392499,Metabolism of proteins,CHEBI:16556,"P61647, Q16842, Q8N307, Q11201, Q9UJ37, Q02505, Q6W4X9, Q9UKN1, Q11206",,0.1822024669012416
8,R-HSA-597592,Post-translational protein modification,CHEBI:16556,"P61647, Q16842, Q8N307, Q6W4X9, Q02505, Q9UJ37, Q11201, Q9UKN1, Q11206",,0.15293773554959056
14,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:16556,"Q11201, Q11206, Q16842, P20774",,0.10310629762198492
28,R-HSA-71387,Metabolism of carbohydrates,CHEBI:16556,"Q11206, Q16842, Q11201, P20774",,0.13330656103724303
34,R-HSA-5173105,O-linked glycosylation,CHEBI:16556,"Q16842, Q8N307, Q11201, Q02505, Q6W4X9, Q9UJ37, Q9UKN1, Q11206",,0.15293773554959056
27,R-HSA-212436,Generic Transcription Pathway,CHEBI:16680,"O75182, Q96LA8, Q71DI3, Q9BTM1, P62805, P0C0S5, Q92831, Q96ST3",,0.034034600804332404
56,R-HSA-1474165,Reproduction,CHEBI:16680,"P0C0S5, Q71DI3, Q9BTM1, P62805",,0.153247397838697
3,R-HSA-4839726,Chromatin organization,CHEBI:16680,"Q09028, Q86X55, Q96LA8, Q15022, Q71DI3, Q9BTM1, P62805, P0C0S5, Q8WTS6, O75530, P11802, Q86TU7, Q96T68",,0.13330656103724303
10,R-HSA-597592,Post-translational protein modification,CHEBI:16680,"Q96G04, Q8IXQ9",,0.15293773554959056
46,R-HSA-72306,tRNA processing,CHEBI:16680,"Q9NXH9, Q9UBP6, Q96FX7, O14717",,0.1361304850353237
4,R-HSA-212165,Epigenetic regulation of gene expression,CHEBI:16680,"Q9UBC3, O75182, Q09028, O00422, Q15022, Q71DI3, Q9BTM1, P62805, P0C0S5, O43189, O75530, Q96ST3",,0.05769598536221536
51,R-HSA-74160,Gene expression (Transcription),CHEBI:16680,"Q9UBC3, O75182, Q09028, Q96LA8, O00422, Q15022, Q96JY0, Q71DI3, Q9BTM1, P62805, P0C0S5, O43189, O75530, Q92831, Q96ST3",,0.17904694701185248
18,R-HSA-1638074,Keratan sulfate/keratin metabolism,CHEBI:17659,"O60512, Q8NFL0, Q9Y2A9, P20774",,0.13330656103724303
31,R-HSA-71387,Metabolism of carbohydrates,CHEBI:17659,"O60512, Q8NFL0, Q9Y2A9, P20774, P78333, O15488",,0.13330656103724303
37,R-HSA-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,CHEBI:17659,P78333,,0.18350757686378222
33,R-HSA-1474244,Extracellular matrix organization,CHEBI:17659,"Q14050, P25067, A6NMZ7, O60568, P02458, Q8IYK4, P20849",,0.053167469875649576
15,R-HSA-1630316,Glycosaminoglycan metabolism,CHEBI:17659,"Q9Y2A9, O60512, Q8NFL0, P20774, P78333",,0.10310629762198492
11,R-HSA-597592,Post-translational protein modification,CHEBI:17659,"Q9Y2A9, Q8NFL0, O94777, Q8TE56, Q8N3Y3, Q8N307, Q6W4X9, Q02505, Q9P283, Q8N428, P82987, Q7Z7M8, Q9UKP4, Q9BYG0, Q10472, Q6UX72, Q86SF2, Q8TE58, Q02742, Q9Y673, Q9UKN1",,0.15293773554959056
25,R-HSA-392499,Metabolism of proteins,CHEBI:17659,"Q9Y2A9, Q8NFL0, O94777, Q8TE56, Q8N3Y3, Q8N307, Q9P283, Q02505, Q6W4X9, Q8N428, P82987, Q7Z7M8, Q9UKP4, Q9BYG0, Q10472, Q6UX72, Q86SF2, Q8TE58, Q02742, Q9Y673, Q9UKN1",,0.1822024669012416
1,R-HSA-913709,O-linked glycosylation of mucins,CHEBI:17659,"Q9Y2A9, Q8NFL0, Q7Z7M8, Q02742, Q9BYG0, Q8N307, Q6W4X9, Q02505, Q10472, Q9UKN1, Q6UX72, Q86SF2, Q8N428",,0.1822024669012416
35,R-HSA-5173105,O-linked glycosylation,CHEBI:17659,"Q9Y2A9, Q8NFL0, Q8TE56, Q8N3Y3, Q8N307, Q6W4X9, Q02505, Q9P283, Q8N428, P82987, Q7Z7M8, Q9UKP4, Q9BYG0, Q10472, Q6UX72, Q86SF2, Q8TE58, Q02742, Q9UKN1",,0.15293773554959056
55,R-HSA-388396,GPCR downstream signalling,CHEBI:17754,Q8N2K0,,0.034034600804332404
44,R-HSA-372790,Signaling by GPCR,CHEBI:18344,Q9HC97,,0.053167469875649576
49,R-HSA-418555,G alpha (s) signalling events,CHEBI:18357;CHEBI:28918,"P43250, P08588, P34947",,0.0
54,R-HSA-388396,GPCR downstream signalling,CHEBI:18357;CHEBI:28918,"P43250, P18825, P18089, P08588, P34947",,0.034034600804332404
48,R-HSA-418555,G alpha (s) signalling events,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16359;CHEBI:16755;CHEBI:15555;CHEBI:16325;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18243;CHEBI:18397;CHEBI:18295;CHEBI:28918;CHEBI:28834,"P30518, Q8NGU9, Q9HBX9, O14775, Q03431, O60895, P50150, P04090, P10092, O43194, P63092, P41587, P51460, O95838, Q5JWF2, P08588",,0.0
41,R-HSA-372790,Signaling by GPCR,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16359;CHEBI:16755;CHEBI:16325;CHEBI:15555;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18397;CHEBI:18243;CHEBI:18295;CHEBI:28918;CHEBI:28834,"P30518, Q8NGU9, Q9HBX9, O14775, Q03431, O60895, P50150, P04090, P10092, O43194, P63092, P41587, P51460, O95838, Q5JWF2, P08588",,0.053167469875649576
53,R-HSA-388396,GPCR downstream signalling,CHEBI:29105;CHEBI:28790;CHEBI:30616;CHEBI:16335;CHEBI:16755;CHEBI:16359;CHEBI:16325;CHEBI:15555;CHEBI:18357;CHEBI:15552;CHEBI:15551;CHEBI:18243;CHEBI:18397;CHEBI:18295;CHEBI:28918;CHEBI:28834,"P30518, Q8NGU9, Q9HBX9, O14775, Q03431, O60895, P50150, P04090, P10092, O43194, P63092, P41587, P51460, O95838, Q5JWF2, P08588",,0.034034600804332404
29,R-HSA-71387,Metabolism of carbohydrates,CHEBI:4208,O00462,,0.13330656103724303
9,R-HSA-597592,Post-translational protein modification,CHEBI:4208,"Q92611, O60476, Q9BV94",,0.15293773554959056
30,R-HSA-71387,Metabolism of carbohydrates,CHEBI:47013,Q9H477,,0.13330656103724303
